n,błąd dla Gaussa,błąd dla Thomasa,czas dla Gaussa[s],czas dla Thomasa[s]
3,0.0,0.0,6.089999806135893e-05,2.489995677024126e-05
4,0.0,0.0,4.060001811012626e-05,2.7499976567924023e-05
5,0.0,1.1920929e-07,5.099998088553548e-05,3.0499999411404133e-05
6,5.9604645e-08,1.1920929e-07,7.020001066848636e-05,7.680000271648169e-05
7,5.9604645e-08,1.1920929e-07,0.0001841000048443675,8.589995559304953e-05
8,5.9604645e-08,1.1920929e-07,0.00022929999977350235,9.47999651543796e-05
9,5.9604645e-08,1.1920929e-07,0.00015490001533180475,4.810001701116562e-05
10,5.9604645e-08,1.1920929e-07,0.00014939997345209122,5.339999916031957e-05
11,1.1920929e-07,1.1920929e-07,0.00018279999494552612,5.7299970649182796e-05
12,1.1920929e-07,1.1920929e-07,0.00020599999697878957,6.530003156512976e-05
13,1.1920929e-07,1.1920929e-07,0.00023790000705048442,6.609997944906354e-05
14,1.1920929e-07,1.1920929e-07,0.0002756000030785799,7.099995855242014e-05
15,1.1920929e-07,1.1920929e-07,0.0003092000260949135,7.489998824894428e-05
20,1.1920929e-07,1.1920929e-07,0.0005233000265434384,0.00010010000551119447
30,1.1920929e-07,1.1920929e-07,0.001133600017055869,0.000146100006531924
40,1.1920929e-07,1.1920929e-07,0.0019843000336550176,0.00019669998437166214
50,1.1920929e-07,1.1920929e-07,0.003035700006876141,0.0002391999587416649
60,1.1920929e-07,1.7881393e-07,0.004405499959830195,0.00029499997617676854
70,1.1920929e-07,1.7881393e-07,0.005941700015682727,0.0003402000293135643
80,1.1920929e-07,1.7881393e-07,0.007807300018612295,0.00038320000749081373
90,1.1920929e-07,1.7881393e-07,0.009698999987449497,0.0004463999648578465
100,1.1920929e-07,1.7881393e-07,0.011816399986855686,0.0004835000145249069
150,1.1920929e-07,1.7881393e-07,0.027522900025360286,0.000715100031811744
200,1.1920929e-07,1.7881393e-07,0.04934359999606386,0.0009428999619558454
300,1.1920929e-07,1.7881393e-07,0.11280359997181222,0.0014514000504277647
500,1.1920929e-07,1.7881393e-07,0.3429492000141181,0.002415599999949336
