n,float32
3,2.682214e-06
4,5.3290705e-15
5,0.0002254701
6,3.7143177e-11
7,1.5390093
8,12.73622
9,35.2343
10,10.109082
11,7.421386
12,2.2251441
13,4.0138736
14,3.2455673
15,7.711664
16,20.908745
17,40.917374
18,32.50551
19,46.78297
20,128.8875
