n,float32
3,5.9604645e-08
4,0.0
5,1.1920929e-07
6,1.1920929e-07
7,1.1920929e-07
8,8.34465e-07
9,8.34465e-07
10,8.34465e-07
11,9.536743e-07
12,2.861023e-06
13,2.861023e-06
14,2.861023e-06
15,2.861023e-06
16,3.9339066e-06
17,3.9339066e-06
18,3.9339066e-06
19,3.9339066e-06
20,6.020069e-06
30,1.7046928e-05
40,3.027916e-05
50,3.874302e-05
60,0.000112354755
70,0.00014066696
80,0.00012594461
90,0.00040531158
100,0.00042033195
200,0.001667738
500,0.031175375
